FID,ECB,Y,Ylog,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,3,26,0,1,1,0,0,0,1,2,2,2,1,2,1
329,0,0,0,46,85,0,0,37,10,2,1,2,34,24,19,8,0,5
330,0,0,0,15,45,1,0,17,7,0,2,2,27,20,3,15,0,8
331,0,0,0,3,8,0,0,3,1,0,0,0,4,3,1,1,0,1
332,0,0,0,3,22,0,1,6,0,3,3,3,16,16,7,12,0,4
333,0,0,0,24,31,0,1,18,6,4,2,1,10,17,23,11,0,2
335,0,0,0,49,30,0,2,40,5,0,1,4,12,49,34,11,2,8
336,0,0,0,20,11,0,0,18,1,0,0,0,9,18,13,4,2,3
337,0,0,0,40,21,0,0,35,5,1,0,0,7,41,26,16,0,0
338,0,0,0,39,6,1,0,31,6,0,0,0,2,29,22,9,0,1
340,0,0,0,6,9,2,0,5,2,1,0,0,2,19,21,5,0,2
341,0,0,0,0,18,0,0,1,0,0,0,0,21,3,12,3,0,0
